"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/courtier-en-ligne","0","","courtier en ligne","404","Not Found","true","","","Root-Relative","//body/section/ul/li[2]/article/div/footer/ul/li[4]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-vs-questrade-2025","https://wealthsimplebonus.ca/fr/etiquette/courtier-en-ligne","0","","courtier en ligne","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[4]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/echelle-de-parrainage-wealthsimple","0","","échelle de parrainage wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[6]/article/div/footer/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/defi-echelle-parrainage","https://wealthsimplebonus.ca/fr/etiquette/echelle-de-parrainage-wealthsimple","0","","échelle de parrainage wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[1]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/prime-5000usd","0","","prime 5000$","404","Not Found","true","","","Root-Relative","//body/section/ul/li[6]/article/div/footer/ul/li[2]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/defi-echelle-parrainage","https://wealthsimplebonus.ca/fr/etiquette/prime-5000usd","0","","prime 5000$","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[2]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/comparaison-courtiers-canadiens","0","","comparaison courtiers canadiens","404","Not Found","true","","","Root-Relative","//body/section/ul/li[2]/article/div/footer/ul/li[2]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-vs-questrade-2025","https://wealthsimplebonus.ca/fr/etiquette/comparaison-courtiers-canadiens","0","","comparaison courtiers canadiens","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[2]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/clients-existants","0","","clients existants","404","Not Found","true","","","Root-Relative","//body/section/ul/li[4]/article/div/footer/ul/li[2]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","https://wealthsimplebonus.ca/fr/etiquette/clients-existants","0","","clients existants","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[2]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/trading-actions-canada","0","","trading actions canada","404","Not Found","true","","","Root-Relative","//body/section/ul/li[2]/article/div/footer/ul/li[3]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-vs-questrade-2025","https://wealthsimplebonus.ca/fr/etiquette/trading-actions-canada","0","","trading actions canada","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/wealthsimple-vs-questrade","0","","wealthsimple vs questrade","404","Not Found","true","","","Root-Relative","//body/section/ul/li[2]/article/div/footer/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-vs-questrade-2025","https://wealthsimplebonus.ca/fr/etiquette/wealthsimple-vs-questrade","0","","wealthsimple vs questrade","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[1]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/transfert-de-portefeuille","0","","transfert de portefeuille","404","Not Found","true","","","Root-Relative","//body/section/ul/li[6]/article/div/footer/ul/li[4]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/defi-echelle-parrainage","https://wealthsimplebonus.ca/fr/etiquette/transfert-de-portefeuille","0","","transfert de portefeuille","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[4]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/ajouter-code-parrainage","0","","ajouter code parrainage","404","Not Found","true","","","Root-Relative","//body/section/ul/li[4]/article/div/footer/ul/li[3]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","https://wealthsimplebonus.ca/fr/etiquette/ajouter-code-parrainage","0","","ajouter code parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/valeur-nette-elevee","0","","valeur nette élevée","404","Not Found","true","","","Root-Relative","//body/section/ul/li[6]/article/div/footer/ul/li[3]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/defi-echelle-parrainage","https://wealthsimplebonus.ca/fr/etiquette/valeur-nette-elevee","0","","valeur nette élevée","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/referral-conditions","https://wealthsimplebonus.ca/fr/tag/referral-conditions","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-terms","https://wealthsimplebonus.ca/fr/tag/wealthsimple-terms","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/category/referral-codes","https://wealthsimplebonus.ca/fr/category/referral-codes","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/conditions-prime-parrainage","https://wealthsimplebonus.ca/fr/etiquette/admissibilite-prime-parrainage","0","","admissibilité prime parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[2]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/admissibilite-prime-parrainage","0","","admissibilité prime parrainage","404","Not Found","true","","","Root-Relative","//body/section/ul/li[5]/article/div/footer/ul/li[2]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/conditions-prime-parrainage","https://wealthsimplebonus.ca/fr/etiquette/conditions-wealthsimple","0","","conditions wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[1]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/conditions-wealthsimple","0","","conditions wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[5]/article/div/footer/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/conditions-prime-parrainage","https://wealthsimplebonus.ca/fr/etiquette/exigences-wealthsimple","0","","exigences wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/exigences-wealthsimple","0","","exigences wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[5]/article/div/footer/ul/li[3]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-requirements","https://wealthsimplebonus.ca/fr/tag/wealthsimple-requirements","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/conditions-prime-parrainage","https://wealthsimplebonus.ca/fr/etiquette/conditions-parrainage","0","","conditions parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[4]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/conditions-parrainage","0","","conditions parrainage","404","Not Found","true","","","Root-Relative","//body/section/ul/li[5]/article/div/footer/ul/li[4]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/nav/ol/li[3]/a","Navigation","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/div/div[3]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/conditions-prime-parrainage","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/nav/ol/li[3]/a","Navigation","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/conditions-prime-parrainage","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/div/div[3]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/section/ul/li[3]/article/div/header/div/span/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/section/ul/li[4]/article/div/header/div/span/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/section/ul/li[5]/article/div/header/div/span/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/section/ul/li[6]/article/div/header/div/span/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/nav/ol/li[3]/a","Navigation","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/div/div[3]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/2","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/section/ul/li[1]/article/div/header/div/span/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-promo-vs-code-parrainage","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/nav/ol/li[3]/a","Navigation","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-promo-vs-code-parrainage","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/div/div[3]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/defi-echelle-parrainage","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/nav/ol/li[3]/a","Navigation","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/defi-echelle-parrainage","https://wealthsimplebonus.ca/fr/categorie/codes-de-parrainage","0","","Codes de parrainage","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/div/div[3]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","https://wealthsimplebonus.ca/fr/etiquette/parrainage-wealthsimple-2026","0","","parrainage wealthsimple 2026","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[5]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/parrainage-wealthsimple-2026","0","","parrainage wealthsimple 2026","404","Not Found","true","","","Root-Relative","//body/section/ul/li[3]/article/div/footer/ul/li[5]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","https://wealthsimplebonus.ca/fr/etiquette/code-promo-wealthsimple","0","","code promo wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[4]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/code-promo-wealthsimple","0","","code promo wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[3]/article/div/footer/ul/li[4]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/2","https://wealthsimplebonus.ca/fr/etiquette/code-promo-wealthsimple","0","","code promo wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[1]/article/div/footer/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-promo-vs-code-parrainage","https://wealthsimplebonus.ca/fr/etiquette/code-promo-wealthsimple","0","","code promo wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[1]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","https://wealthsimplebonus.ca/fr/etiquette/prime-inscription-wealthsimple","0","","prime inscription wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/prime-inscription-wealthsimple","0","","prime inscription wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[3]/article/div/footer/ul/li[3]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","https://wealthsimplebonus.ca/fr/etiquette/code-de-parrainage-wealthsimple","0","","code de parrainage wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[1]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/code-de-parrainage-wealthsimple","0","","code de parrainage wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[3]/article/div/footer/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/code-de-parrainage-wealthsimple","0","","code de parrainage wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[4]/article/div/footer/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","https://wealthsimplebonus.ca/fr/etiquette/code-de-parrainage-wealthsimple","0","","code de parrainage wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[1]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","https://wealthsimplebonus.ca/fr/etiquette/prime-wealthsimple","0","","prime wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[2]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/prime-wealthsimple","0","","prime wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[3]/article/div/footer/ul/li[2]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/prime-wealthsimple","0","","prime wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[4]/article/div/footer/ul/li[4]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","https://wealthsimplebonus.ca/fr/etiquette/prime-wealthsimple","0","","prime wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[4]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/referral-bonus-eligibility","https://wealthsimplebonus.ca/fr/tag/referral-bonus-eligibility","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-referral-2026","https://wealthsimplebonus.ca/fr/tag/wealthsimple-referral-2026","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-bonus","https://wealthsimplebonus.ca/fr/tag/wealthsimple-bonus","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-referral-code","https://wealthsimplebonus.ca/fr/tag/wealthsimple-referral-code","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-sign-up-bonus","https://wealthsimplebonus.ca/fr/tag/wealthsimple-sign-up-bonus","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-promo-code","https://wealthsimplebonus.ca/fr/tag/wealthsimple-promo-code","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/category/comparisons","https://wealthsimplebonus.ca/fr/category/comparisons","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/nav/ol/li[3]/a","Navigation","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/div/div[3]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/section/ul/li[1]/article/div/header/div/span/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/section/ul/li[2]/article/div/header/div/span/a","Header","HTML"
